,CLIMBER,MYEAR,SEX,CITIZEN,SHERPA,DEATHNOTE
28728,John Edgar (Jake) Breitenbach,1963.0,M,USA,non-sherpa,Killed by ice collapse in Khumbu Icefall
28975,Gerard Devouassoux,1974.0,M,France,non-sherpa,Killed by avalanche in C2
29012,Michael (Mick) Burke,1975.0,M,UK,non-sherpa,Probable fall near summit (estimate around 2 pm)
29064,Terry Thompson,1976.0,M,UK,non-sherpa,
29183,Ang Phu Sherpa,1979.0,M,Nepal,sherpa,
29186,Raymond Edward (Ray) Genet,1979.0,M,USA,non-sherpa,Died of exhaustion and exposure in snow cave biv after descent during night of 2/3 Oct
29189,Hannelore Schmatz,1979.0,F,W Germany,non-sherpa,Died of exhaustion and exposure on descent (estimate about 7 am 3 Oct)
29276,Mario (Franco) Piana,1980.0,M,Italy,non-sherpa,Ice avalanche/collapse above C2
29313,Noboru Takenaka,1980.0,M,Japan,non-sherpa,
29411,Mary Francis (Marty) Hoey,1982.0,F,USA,non-sherpa,
29440,George Blair Griffiths,1982.0,M,Canada,non-sherpa,Killed in Khumbu Icefall by collapsing ice serac (5600-5800m)
29467,Yasuo Kato,1982.0,M,Japan,non-sherpa,Disappeared - blown off by wind?
29468,Toshiaki Kobayashi,1982.0,M,Japan,non-sherpa,Disappeared - blown off by wind?
29555,Pasang Temba Sherpa,1983.0,M,Nepal,sherpa,Fall in late afternoon in descent from summit attempt (not the Pasang Temba from Ghat) (estimate 5-6 pm)
29557,Hironobu Kamuro,1983.0,M,Japan,non-sherpa,Fall? (disappeared) (JAC estimates 6 pm)
29558,Hiroshi Yoshino,1983.0,M,Japan,non-sherpa,Fall? (disappeared) (JAC estimates 6 am after all-night biv)
29613,Ang Rinji Sherpa,1984.0,M,Nepal,sherpa,Avalanche from Lho La
29614,Jangbir Rai,1984.0,M,Nepal,non-sherpa,Pulmonary edema at Lobuche on return
29636,Christo Ivanov Prodanov,1984.0,M,Bulgaria,non-sherpa,Exposure and exhaustion on descent from summit (died during overnight bivouac?); body never found
29645,Anthony Mark (Tony) Swierzy,1984.0,M,UK,non-sherpa,
29658,Yogendra Bahadur Thapa,1984.0,M,Nepal,non-sherpa,"Fall (c8400m)? (last contact 9 am, estimate fall about 10 am)"
29659,Ang Dorje Sherpa,1984.0,M,Nepal,sherpa,"Fall (c8400m)? (last contact 9 am, estimate fall about 10 am)"
29692,William Robert (Fred) From,1984.0,M,Australia,non-sherpa,Fell at bottom of Hornbein Couloir after returning to scene of Nottle's fall to render assistance
29697,Craig Rupert Nottle,1984.0,M,Australia,non-sherpa,Lost footing at bottom of Horbein Couloir and fell 500m down North Face
29722,Jozef Psotka,1984.0,M,Czechoslovakia,non-sherpa,Apparent fall on Lhotse Face near S Col during descent
29822,Juanjo Navarro,1985.0,M,Spain,non-sherpa,Navarro and Zamarbide fell 250m from 7500m
29859,Shinichi Ishii,1985.0,M,Japan,non-sherpa,Avalanche
29870,Ranmit Singh Bakshi,1985.0,M,India,non-sherpa,Exposure and exhaustion on S Col
29882,Kiran Inder Kumar,1985.0,M,India,non-sherpa,Fall
29889,Vijay Pal Singh Negi,1985.0,M,India,non-sherpa,Exposure
29893,Maddirati Uday Bhaskar Rao,1985.0,M,India,non-sherpa,Exposure
29906,Jai Vardhan Bahuguna,1985.0,M,India,non-sherpa,Exposure and exhaustion at S Col
30025,Victor-Hugo Trujillo,1986.0,M,Chile,non-sherpa,Killed by avalanche after corniced lip of crevasse collapsed at N Col
